"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"51","Cyprus","CYP","Asia","Europe & Central Asia",83.14104,2.28734,1208.523,15.46381,1.27559,9.43,53.753,33.996,61,99.3600006103516,"Nicosia",13.5876054763794,6.976,30571.55078125
"52","Czechia","CZE","Europe","Europe & Central Asia",79.1303,2.20293,10594.438,14.8192,0.61984,9.49,54.686,66.2,75,NA,NA,13.5641040802002,2.37,20237.4431123854
"53","Germany","DEU","Europe","Europe & Central Asia",81.72252,3.03109,82657.002,11.15322,0.85955,12.93,45.184,80,84,NA,NA,13.3306179046631,2.989,43361.1771204321
"54","Djibouti","DJI","Africa","Middle East & North Africa",65.81488,45.85083,1040.233,18.61697,6.58133,2.88,2.032,14,8.26723,NA,NA,NA,27.929,2950.94647464779
"55","Dominica","DMA","Americas","Latin America & Caribbean",NA,32.02507,70.403,8.3847,NA,6.5,11.158,NA,55.17701,NA,NA,12.396614074707,NA,7339.69510708724
"56","Denmark","DNK","Europe","Europe & Central Asia",81.31571,3.10835,5764.98,8.7981,1.09173,10.82,42.642,26,93,NA,NA,13.3946027755737,4.172,60345.5573176803
"57","Dominican Republic","DOM","Americas","Latin America & Caribbean",72.84367,27.29332,10647.244,7.25471,17.84743,4.92,14.327,15.56,45,95.5,"Santo Domingo",11.8739490509033,7.121,8732.08073884782
"58","Algeria","DZA","Africa","Middle East & North Africa",77.13415,19.16029,41136.546,22.68313,1.65664,5.53,17.317,19,15.22803,81.4078369140625,"Algiers",11.8480348587036,11.55,3999.75769667754
"59","Ecuador","ECU","Americas","Latin America & Caribbean",78.44662,10.72316,16696.944,16.13596,2.45828,8.29,22.317,13.92792,35.13451,93.9481201171875,"Quito",12.9366292953491,3.955,5590.54163412359
"60","Egypt","EGY","Africa","Middle East & North Africa",71.81616,16.23399,101789.386,46.73214,6.50859,4.61,7.094,14.3,44.07,74.5,"Cairo",11.4635009765625,6.959,4088.89704539336
"61","Eritrea","ERI","Africa","Sub-Saharan Africa",64.08144,28.94961,3396.933,24.03607,4.5984,4.15,0.818,7,0.8,76.5705184936523,"Asmara",NA,6.618,702.396632469693
"62","Spain","ESP","Europe","Europe & Central Asia",83.21875,2.5601,46593.236,9.77284,0.55968,10.74,45.766,29.7,72,98.5944595336914,"Madrid",12.9715948104858,13.009,27702.7452993409
"63","Estonia","EST","Europe","Europe & Central Asia",78.87813,1.55401,1317.384,6.35007,3.24032,7.49,38.634,45.7,79,99.870002746582,"Tallinn",13.4839639663696,5.851,21143.2913626518
"64","Ethiopia","ETH","Africa","Sub-Saharan Africa",68.6994,34.27482,108197.95,22.23134,10.68802,3.21,1.039,3.3,1.48281,51.7711791992188,"Addis Ababa",7.80644083023071,4.018,857.315485565942
"65","Finland","FIN","Europe","Europe & Central Asia",81.6124,1.78018,5508.214,6.40465,1.02063,10.25,43.252,36.1,91,NA,NA,13.7467031478882,6.801,46929.1435201397
"66","Fiji","FJI","Oceania","East Asia & Pacific",68.01035,23.25634,919.019,7.36073,1.03886,5.38,8.144,19.97741,33.74236,NA,NA,11.3332958221435,4.334,5313.02847064593
"67","Falkland Islands","FLK","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","France","FRA","Europe","Europe & Central Asia",82.47668,3.44809,66918.02,12.0337,1.03168,12.31,33.237,59.1,83,NA,NA,13.8026580810547,7.445,38816.4792795643
"69","Faroe Islands","FRO","Europe","Europe & Central Asia",NA,NA,50.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59699.2008265596
